subject;predicate;object;
err:wtur1wrot3rotErr0;ex:Info;remark
err:wtur1wrot3rotErr2;ex:Info;fatal
wrot:wtur1wrot3;wrot:err;err:wtur1wrot3rotErr2
wrot:wtur1wrot3;wrot:err;err:wtur1wrot3rotErr0
iec:wtur1;wtur:StopCnt;561898903
iec:wtur1;rdfs:seeAlso;wrot:wtur1wrot3
err:wtur1wrot3rotErr1;ex:Info;minor
wrot:wtur1wrot3;wrot:err;err:wtur1wrot3rotErr1
iec:wtur1;wtur:StrCnt;716582206
wrot:wtur1wrot3;wrot:RotSpd;-581734395
wrot:wtur1wrot3;wrot:err;err:wtur1wrot3rotErr3
err:wtur1wrot3rotErr3;ex:Info;fatal
iec:wtur5;wtur:StopCnt;1208206699
wrot:wtur9wrot0;wrot:RotPos;0.029422838199839485
iec:wtur9;wtur:TotWh;1709467302
iec:wtur9;rdfs:seeAlso;wrot:wtur9wrot0
iec:wtur5;wtur:err;err:wtur5turErr0
err:wtur5turErr0;ex:Info;minor
err:wtur5turErr3;ex:Info;major
iec:wtur5;wtur:err;err:wtur5turErr2
iec:wtur5;wtur:err;err:wtur5turErr1
iec:wtur5;wtur:StrCnt;-428138793
iec:wtur5;wtur:err;err:wtur5turErr3
iec:wtur5;wtur:StopCnt;-1111923867
err:wtur5turErr2;ex:Info;fatal
err:wtur5turErr1;ex:Info;serious
iec:wtur6;wtur:err;err:wtur6turErr0
iec:wtur6;wtur:TotWh;1087741153
iec:wtur6;wtur:err;err:wtur6turErr1
err:wtur6turErr1;ex:Info;remark
err:wtur6turErr0;ex:Info;serious
wrot:wtur4wrot5;wrot:err;err:wtur4wrot5rotErr2
err:wtur4turErr1;ex:Info;remark
err:wtur4turErr0;ex:Info;minor
err:wtur4wrot5rotErr0;ex:Info;remark
iec:wtur4;wtur:err;err:wtur4turErr0
iec:wtur4;rdfs:seeAlso;wrot:wtur4wrot5
wrot:wtur4wrot5;wrot:RotPos;0.0034184608105247705
wrot:wtur4wrot5;wrot:err;err:wtur4wrot5rotErr1
err:wtur4wrot5rotErr2;ex:Info;minor
wrot:wtur4wrot5;wrot:RotSpd;-855739867
iec:wtur4;wtur:err;err:wtur4turErr1
wrot:wtur4wrot5;wrot:err;err:wtur4wrot5rotErr0
err:wtur4wrot5rotErr1;ex:Info;major
iec:wtur4;wtur:TotWh;-1610295952
err:wtur9turErr1;ex:Info;major
err:wtur9turErr0;ex:Info;serious
iec:wtur9;wtur:StopCnt;664472801
iec:wtur9;wtur:err;err:wtur9turErr0
iec:wtur9;wtur:err;err:wtur9turErr1
err:wtur7turErr0;ex:Info;remark
err:wtur7wrot5rotErr2;ex:Info;fatal
iec:wtur7;wtur:err;err:wtur7turErr4
iec:wtur7;wtur:err;err:wtur7turErr0
wrot:wtur7wrot5;wrot:err;err:wtur7wrot5rotErr2
wrot:wtur7wrot5;wrot:err;err:wtur7wrot5rotErr0
iec:wtur7;rdfs:seeAlso;wrot:wtur7wrot5
err:wtur7turErr1;ex:Info;remark
iec:wtur7;wtur:err;err:wtur7turErr3
err:wtur7wrot5rotErr0;ex:Info;remark
err:wtur7turErr4;ex:Info;fatal
err:wtur7turErr2;ex:Info;fatal
err:wtur7wrot5rotErr1;ex:Info;major
iec:wtur7;wtur:err;err:wtur7turErr2
err:wtur7turErr3;ex:Info;minor
iec:wtur7;wtur:StrCnt;-154357796
iec:wtur7;wtur:err;err:wtur7turErr1
wrot:wtur7wrot5;wrot:err;err:wtur7wrot5rotErr1
wrot:wtur7wrot5;wrot:RotPos;0.240183469597803
iec:wtur6;wtur:StopCnt;1911740399
err:wtur6turErr0;ex:Info;major
iec:wtur6;wtur:err;err:wtur6turErr0
iec:wtur6;wtur:err;err:wtur6turErr0
wrot:wtur6wrot1;wrot:RotSpd;1018480285
err:wtur6turErr0;ex:Info;fatal
iec:wtur6;rdfs:seeAlso;wrot:wtur6wrot1
wrot:wtur6wrot1;wrot:RotPos;0.829141450878058
iec:wtur6;wtur:TotWh;1028399816
iec:wtur6;wtur:err;err:wtur6turErr1
iec:wtur6;wtur:err;err:wtur6turErr2
iec:wtur6;wtur:err;err:wtur6turErr3
wrot:wtur6wrot9;wrot:err;err:wtur6wrot9rotErr0
err:wtur6turErr4;ex:Info;serious
wrot:wtur6wrot9;wrot:RotPos;0.2905657661996014
err:wtur6turErr2;ex:Info;major
err:wtur6wrot9rotErr0;ex:Info;major
err:wtur6turErr3;ex:Info;serious
iec:wtur6;wtur:StopCnt;-1430136307
err:wtur6turErr0;ex:Info;minor
iec:wtur6;wtur:TotWh;-1044722948
wrot:wtur6wrot9;wrot:RotSpd;707263536
iec:wtur6;rdfs:seeAlso;wrot:wtur6wrot9
iec:wtur6;wtur:err;err:wtur6turErr4
iec:wtur6;wtur:StrCnt;1986093603
err:wtur6turErr1;ex:Info;minor
iec:wtur6;wtur:err;err:wtur6turErr0
iec:wtur1;wtur:StopCnt;-329858439
err:wtur1turErr0;ex:Info;remark
iec:wtur1;rdfs:seeAlso;wrot:wtur1wrot0
iec:wtur1;wtur:err;err:wtur1turErr0
err:wtur7turErr2;ex:Info;major
err:wtur7wrot8rotErr0;ex:Info;fatal
err:wtur7turErr0;ex:Info;fatal
iec:wtur7;wtur:err;err:wtur7turErr0
iec:wtur7;wtur:err;err:wtur7turErr2
wrot:wtur7wrot8;wrot:err;err:wtur7wrot8rotErr1
err:wtur7turErr1;ex:Info;fatal
iec:wtur7;wtur:err;err:wtur7turErr1
iec:wtur7;wtur:StopCnt;849244390
iec:wtur7;rdfs:seeAlso;wrot:wtur7wrot8
err:wtur7wrot8rotErr1;ex:Info;remark
iec:wtur7;wtur:TotWh;705639383
wrot:wtur7wrot8;wrot:err;err:wtur7wrot8rotErr0
iec:wtur1;wtur:StopCnt;-61645017
iec:wtur1;wtur:err;err:wtur1turErr2
err:wtur1turErr2;ex:Info;fatal
iec:wtur1;wtur:err;err:wtur1turErr1
err:wtur1turErr3;ex:Info;remark
iec:wtur1;wtur:err;err:wtur1turErr3
err:wtur1turErr0;ex:Info;remark
err:wtur1turErr1;ex:Info;minor
iec:wtur1;wtur:err;err:wtur1turErr0
