timestamp;id;weight0;weight1;weight2;weight3
1;3;3.7;54.35;4.32;57.65
2;3;53.97;2.73;34.0;10.69
3;3;25.63;20.83;4.75;33.05
4;3;51.41;43.07;32.95;57.16
5;3;41.89;16.11;4.71;47.51
6;3;15.5;58.81;18.96;21.85
7;3;23.56;36.84;9.66;47.28
8;3;2.56;38.33;2.39;4.04
9;3;55.45;41.72;43.62;5.07
10;3;34.33;7.6;55.22;21.25
11;3;50.48;24.11;33.56;11.13
12;3;52.28;50.64;10.51;29.41
13;3;28.37;55.71;24.32;51.43
14;3;52.12;33.82;9.97;39.82
15;3;44.03;10.96;52.97;56.23
16;3;31.01;11.4;36.15;23.93
17;3;5.69;16.64;46.72;37.38
18;3;55.41;24.23;0.74;31.56
19;3;58.05;46.4;3.17;27.84
20;3;52.21;58.68;55.4;3.73
21;3;0.82;34.79;7.12;31.6
22;3;20.86;48.16;26.66;35.59
23;3;7.67;40.35;12.72;27.52
24;3;59.28;54.04;11.4;0.68
25;3;6.03;2.5;55.06;25.37
26;3;31.31;58.25;44.26;42.12
27;3;12.83;31.64;10.16;7.36
28;3;38.31;14.69;3.68;31.66
29;3;16.47;27.31;17.29;23.76
30;3;52.8;41.42;37.86;12.52
31;3;50.21;13.77;52.75;5.63
32;3;26.76;50.85;7.19;56.77
33;3;37.39;17.82;38.85;13.32
34;3;2.37;50.08;54.7;23.22
35;3;23.37;8.35;27.37;33.94
36;3;7.93;18.31;50.87;16.57
37;3;44.85;12.23;11.23;16.2
38;3;16.72;23.63;54.49;23.74
39;3;41.39;56.27;13.5;5.94
40;3;21.37;56.23;45.83;38.29
41;3;49.71;19.67;37.71;20.82
42;3;51.8;30.09;23.75;18.61
43;3;35.79;36.71;18.35;37.4
44;3;39.06;0.27;13.22;1.0
45;3;55.03;4.26;45.73;59.0
46;3;43.18;58.05;24.64;43.28
47;3;5.85;3.72;14.0;7.84
48;3;57.5;40.79;21.61;49.84
49;3;56.75;41.9;16.42;39.55
50;3;57.33;48.82;28.45;24.11
51;3;22.27;50.68;6.8;33.66
52;3;15.67;16.41;44.06;49.12
53;3;57.86;19.77;21.2;28.35
54;3;43.71;18.84;43.67;32.2
55;3;19.19;32.42;48.74;22.7
56;3;48.81;12.8;4.73;44.49
57;3;5.79;48.58;35.56;45.0
58;3;57.79;2.24;28.71;1.32
59;3;4.57;15.08;41.0;20.31
60;3;28.11;16.61;45.12;24.09
61;3;43.24;57.57;39.84;5.78
62;3;24.87;23.79;39.2;19.77
63;3;58.95;43.71;19.63;56.92
64;3;36.19;34.73;19.98;28.63
65;3;22.37;42.25;17.22;23.31
66;3;34.78;11.91;39.91;26.24
67;3;32.51;37.65;53.25;7.08
68;3;8.48;48.74;52.76;40.5
69;3;52.33;34.81;58.78;12.48
70;3;57.42;42.04;11.24;19.63
71;3;50.59;23.54;22.96;29.96
72;3;10.52;14.62;20.67;41.87
73;3;10.1;7.35;5.66;13.04
74;3;9.23;40.2;20.42;32.91
75;3;57.47;16.19;34.28;1.4
76;3;40.98;57.66;39.39;31.74
77;3;24.82;37.77;38.34;58.55
78;3;20.4;56.78;47.18;20.91
79;3;48.54;57.06;51.27;7.36
80;3;50.66;52.63;57.35;32.0
81;3;45.33;48.48;23.02;41.9
82;3;33.07;0.56;14.18;52.11
83;3;0.87;20.59;42.7;8.92
