timestamp;id;weight0;weight1;weight2;weight3
1;4;50.74;23.7;18.62;39.53
2;4;38.25;23.97;38.17;52.18
3;4;18.14;33.67;44.69;22.14
4;4;31.83;44.45;22.23;5.54
5;4;34.93;59.85;22.06;47.09
6;4;36.5;18.6;58.51;0.32
7;4;41.13;14.22;7.04;28.95
8;4;44.4;33.93;53.38;53.11
9;4;51.77;13.39;35.24;49.35
10;4;52.09;15.23;22.87;25.4
11;4;19.68;27.05;1.02;9.32
12;4;44.26;19.17;43.17;38.4
13;4;54.45;24.33;49.43;5.67
14;4;9.3;39.81;31.11;41.64
15;4;22.95;27.75;29.43;34.52
16;4;39.72;2.12;11.2;26.19
17;4;31.46;39.26;52.5;40.55
18;4;44.86;35.52;40.51;48.24
19;4;4.74;58.06;15.53;25.29
20;4;58.89;54.61;58.14;24.11
21;4;12.29;4.86;42.11;2.7
22;4;41.63;29.28;0.45;52.34
23;4;7.02;42.0;31.0;25.53
24;4;5.05;1.11;58.91;53.85
25;4;56.46;54.28;56.01;40.75
26;4;53.13;58.41;11.65;55.99
27;4;1.93;9.88;16.04;7.41
28;4;57.85;16.79;55.54;1.32
29;4;15.81;56.17;9.44;5.34
30;4;28.98;7.55;0.05;17.05
31;4;2.05;59.89;41.59;17.98
32;4;30.45;10.82;59.54;55.85
33;4;0.35;56.42;29.65;47.75
34;4;11.1;45.8;15.29;54.14
35;4;49.08;27.57;3.62;37.29
36;4;52.38;44.9;13.97;28.37
37;4;17.26;22.75;57.49;44.98
38;4;50.9;14.17;43.8;25.54
39;4;50.83;32.9;39.61;57.98
40;4;28.43;16.98;5.08;38.5
41;4;13.39;1.92;6.21;41.33
42;4;57.21;13.11;26.48;12.07
43;4;36.67;15.18;17.05;56.31
44;4;3.22;20.3;33.54;20.74
45;4;51.05;59.7;27.23;56.48
46;4;25.14;0.46;51.01;53.95
47;4;21.2;25.64;44.07;4.79
48;4;21.79;27.59;35.31;59.56
49;4;47.2;33.66;13.13;10.03
50;4;15.77;49.49;28.8;11.68
51;4;46.39;47.8;52.24;16.13
52;4;55.95;10.51;2.14;23.47
53;4;5.99;28.54;47.7;32.5
54;4;36.72;37.23;26.47;0.88
55;4;12.05;35.5;41.41;48.85
56;4;26.52;44.39;51.6;28.16
57;4;54.61;4.52;33.13;52.91
