timestamp;id;weight0;weight1;weight2;weight3
1;1;3.23;14.98;43.41;45.93
2;1;23.84;56.7;33.99;12.12
3;1;49.79;23.9;33.8;25.03
4;1;16.59;39.76;27.11;27.28
5;1;43.93;58.48;53.17;38.13
6;1;30.92;9.0;50.27;49.24
7;1;35.96;34.35;37.52;27.87
8;1;16.72;1.35;2.87;58.52
9;1;14.86;19.66;48.77;9.16
10;1;1.32;50.26;41.14;30.13
11;1;30.93;1.11;34.01;2.62
12;1;30.25;2.63;0.57;49.21
13;1;38.98;7.3;31.35;41.54
14;1;44.24;25.93;22.6;9.91
15;1;47.37;58.92;31.67;55.3
16;1;45.33;22.64;42.26;28.16
17;1;33.15;30.54;39.97;47.92
18;1;19.83;24.3;8.11;14.26
19;1;58.46;3.52;55.51;45.0
20;1;0.75;51.9;20.95;46.19
21;1;18.49;24.63;4.54;17.35
22;1;7.57;45.16;12.95;19.5
23;1;26.2;0.05;34.84;4.75
24;1;35.99;57.45;43.44;4.48
25;1;54.06;49.39;35.78;18.16
26;1;45.45;28.67;23.11;56.78
27;1;48.02;39.16;23.09;33.79
28;1;27.12;23.11;32.84;41.97
29;1;3.94;30.53;42.28;47.27
30;1;10.11;34.43;18.89;50.21
31;1;51.77;30.84;59.62;51.44
32;1;58.61;34.9;0.72;11.71
33;1;7.63;33.53;24.75;55.98
34;1;27.76;0.88;23.07;18.91
35;1;29.09;26.04;3.83;42.32
36;1;0.9;21.83;58.77;56.21
37;1;3.86;20.41;57.31;2.22
38;1;6.0;14.83;23.64;13.15
39;1;57.11;55.99;31.2;43.19
40;1;23.95;21.77;20.17;31.81
41;1;17.7;19.14;45.91;19.39
42;1;56.49;41.29;41.23;54.42
43;1;18.51;39.24;21.55;21.14
44;1;36.52;42.66;0.52;31.94
45;1;41.09;15.85;13.84;11.54
46;1;38.47;43.54;11.08;49.47
47;1;9.96;26.47;29.36;33.41
48;1;1.46;28.93;8.4;59.45
49;1;16.66;19.66;44.41;25.14
50;1;53.14;43.34;49.66;8.36
51;1;28.91;32.99;6.22;38.55
52;1;16.69;23.15;55.5;17.91
53;1;15.0;30.44;30.67;47.31
54;1;58.93;31.54;55.87;56.5
55;1;48.75;29.04;5.38;49.17
56;1;12.18;12.87;36.41;51.85
57;1;35.2;59.08;42.26;40.47
58;1;17.59;58.74;56.86;30.64
59;1;32.3;57.75;58.41;56.13
60;1;52.73;32.79;7.98;6.04
61;1;58.8;50.65;19.4;3.61
62;1;1.14;56.34;8.47;8.91
63;1;33.66;30.89;53.96;54.2
64;1;16.59;12.08;58.33;13.71
65;1;27.07;40.28;23.95;29.89
66;1;49.73;17.72;40.27;4.75
67;1;58.47;12.33;8.69;19.26
68;1;59.99;56.97;35.43;23.8
69;1;11.7;31.65;57.61;30.82
70;1;50.29;29.7;35.2;54.9
71;1;12.51;59.23;40.2;46.92
72;1;37.48;58.58;5.3;37.13
73;1;8.79;48.4;17.2;56.92
74;1;26.08;4.22;13.86;11.34
75;1;8.58;10.97;12.14;22.67
76;1;8.18;35.95;29.84;1.61
77;1;46.23;28.13;57.05;44.85
78;1;27.12;40.3;33.34;27.27
79;1;41.87;35.84;21.46;53.48
80;1;57.83;44.36;14.23;56.45
81;1;34.44;9.18;8.57;40.96
82;1;11.41;6.12;50.7;26.94
83;1;23.58;45.41;17.69;10.94
84;1;6.76;38.82;14.0;15.25
85;1;50.45;40.18;46.81;31.47
86;1;47.07;51.49;21.11;49.65
87;1;22.96;46.69;24.38;15.78
88;1;53.68;22.84;11.64;38.22
89;1;5.37;22.27;54.23;8.97
90;1;25.34;40.43;20.49;57.57
91;1;27.72;22.0;32.63;34.03
92;1;45.33;32.44;32.85;3.25
93;1;45.2;54.1;51.52;5.55
94;1;54.38;34.02;2.83;17.63
95;1;32.72;26.53;16.75;54.49
96;1;42.01;45.35;32.43;6.07
97;1;34.98;49.56;45.56;2.3
98;1;4.01;53.53;2.12;47.39
99;1;7.11;53.77;42.0;37.83
100;1;48.95;25.47;59.73;39.31
101;1;16.35;38.24;44.5;45.36
102;1;31.23;53.72;28.88;54.88
103;1;9.76;58.47;14.46;27.09
104;1;23.58;12.58;13.73;20.62
105;1;48.42;38.59;29.89;58.45
106;1;16.66;16.4;51.26;42.4
107;1;3.12;47.55;3.03;29.68
108;1;8.56;47.26;37.74;19.7
109;1;2.04;13.88;36.0;41.84
110;1;41.82;14.23;30.82;24.35
111;1;55.37;28.57;23.45;0.88
112;1;0.83;21.06;23.7;54.38
