timestamp;id;weight0;weight1;weight2;weight3
1;8;18.81;29.29;59.69;44.92
2;8;59.38;25.63;27.22;5.28
3;8;32.9;23.88;16.04;17.54
4;8;1.38;5.67;37.62;49.28
5;8;4.24;12.28;29.69;16.34
6;8;54.64;47.84;57.79;41.66
7;8;19.2;56.89;1.58;49.84
8;8;25.8;42.78;28.62;25.17
9;8;22.92;47.48;50.89;25.82
10;8;15.57;44.29;3.93;38.75
11;8;5.68;22.88;45.02;18.84
12;8;9.69;10.95;55.1;41.29
13;8;12.97;38.07;9.33;9.11
14;8;49.36;26.18;13.3;16.57
15;8;24.46;6.35;25.9;36.27
16;8;13.94;53.65;5.64;10.32
17;8;2.27;21.19;45.0;46.21
18;8;43.48;40.38;56.81;45.22
19;8;3.55;57.24;48.45;44.43
20;8;3.99;54.45;42.61;54.74
21;8;27.83;5.34;58.82;44.3
22;8;13.11;39.6;37.02;51.61
23;8;4.19;50.88;43.34;33.51
24;8;38.89;43.6;29.06;41.84
25;8;38.58;40.39;16.67;17.13
26;8;19.47;52.83;41.15;50.15
27;8;36.54;35.69;1.46;30.56
28;8;46.32;19.81;15.31;37.62
29;8;51.47;10.43;0.55;30.87
30;8;48.91;26.05;48.71;47.46
31;8;23.74;18.55;30.0;9.77
32;8;53.37;57.29;15.12;29.74
33;8;50.95;19.25;36.81;26.53
34;8;3.0;23.09;23.69;10.99
35;8;4.34;58.04;20.39;54.4
36;8;3.29;8.07;1.48;29.4
37;8;21.87;18.65;31.59;28.72
38;8;9.31;36.78;1.44;51.7
39;8;3.02;35.22;38.57;20.08
40;8;27.99;29.42;32.01;42.29
41;8;25.6;29.44;23.22;51.06
42;8;3.24;40.34;20.12;10.74
43;8;19.79;32.33;27.25;49.64
44;8;6.49;46.68;53.91;58.4
45;8;49.67;25.15;1.89;27.93
46;8;50.51;8.98;46.7;39.97
47;8;47.44;29.1;50.27;49.38
48;8;59.14;41.17;18.65;30.93
49;8;20.63;48.51;46.29;42.84
50;8;0.7;1.74;47.7;46.67
51;8;27.4;26.87;29.16;16.94
52;8;27.82;53.44;36.14;54.16
53;8;10.37;50.69;27.46;43.11
54;8;1.48;33.55;54.41;12.08
55;8;13.96;30.38;21.74;50.49
56;8;11.85;51.69;58.55;50.21
57;8;5.75;23.19;49.69;31.24
58;8;43.84;7.58;12.79;13.97
59;8;36.83;37.36;52.8;9.53
60;8;9.91;55.47;23.8;14.93
61;8;51.59;32.55;38.55;42.59
62;8;8.08;37.76;47.99;43.22
63;8;52.06;5.78;7.01;57.14
64;8;17.67;4.57;8.55;12.64
65;8;17.05;7.75;6.03;59.65
66;8;0.7;51.57;33.41;4.35
67;8;11.37;8.94;33.8;13.69
68;8;11.45;3.17;0.91;9.97
69;8;35.33;30.34;2.82;12.76
70;8;52.18;23.04;54.45;50.06
71;8;19.75;8.17;54.43;12.04
72;8;27.54;9.25;42.68;58.61
73;8;26.74;17.35;27.6;17.28
74;8;45.53;26.01;56.8;19.73
75;8;11.48;53.34;21.19;24.28
76;8;7.59;19.18;51.22;17.05
77;8;15.17;26.85;43.57;37.33
78;8;25.79;17.62;29.39;51.94
79;8;54.53;41.13;58.61;29.87
80;8;39.65;57.57;10.96;41.33
81;8;7.87;16.36;11.99;25.9
82;8;20.37;42.02;31.96;0.92
83;8;53.23;20.92;36.87;15.31
84;8;5.28;2.36;24.46;14.77
85;8;8.58;43.87;32.87;31.59
86;8;0.19;44.3;37.13;27.02
87;8;19.43;58.56;47.31;15.31
88;8;42.33;55.16;13.17;46.67
89;8;14.1;41.71;22.79;1.65
90;8;11.74;44.73;37.25;51.2
91;8;41.85;47.76;9.99;45.4
92;8;53.69;26.75;57.7;30.0
93;8;24.11;33.04;39.77;31.71
94;8;30.0;43.12;25.7;23.4
95;8;43.98;39.28;3.43;16.08
96;8;31.89;47.94;27.73;28.1
97;8;34.44;41.21;25.3;11.81
98;8;42.18;43.53;2.91;15.02
99;8;20.19;37.8;26.42;18.37
100;8;29.51;35.53;31.62;20.3
101;8;43.66;21.71;13.47;19.02
102;8;32.36;49.12;36.94;45.3
103;8;0.24;16.6;1.92;50.96
104;8;45.53;43.59;35.45;56.6
105;8;43.01;26.95;57.2;46.55
106;8;16.94;57.28;48.66;31.68
107;8;12.22;59.88;53.15;58.74
108;8;37.41;29.97;1.85;11.28
109;8;19.74;33.74;21.54;59.26
110;8;41.03;25.01;11.56;14.21
