timestamp;id;weight0;weight1;weight2;weight3
1;10;40.64;47.89;6.62;58.52
2;10;10.79;40.93;14.91;44.32
3;10;17.46;0.24;13.8;35.92
4;10;17.41;35.41;43.99;43.3
5;10;44.31;5.92;52.47;39.87
6;10;31.27;54.56;9.7;45.8
7;10;37.36;24.29;2.86;44.51
8;10;39.22;16.74;34.77;41.98
9;10;28.57;44.82;50.59;23.24
10;10;37.13;2.83;39.1;12.75
11;10;33.92;25.41;11.82;43.8
12;10;24.53;51.37;11.54;28.0
13;10;48.89;9.94;22.05;48.49
14;10;42.47;45.83;2.96;19.68
15;10;36.84;14.44;57.5;22.97
16;10;7.29;11.04;16.95;0.83
17;10;30.18;6.88;33.1;11.86
18;10;8.13;11.03;49.82;16.23
19;10;59.85;19.81;16.06;54.76
20;10;10.82;55.23;6.24;25.71
21;10;3.09;30.68;48.97;10.71
22;10;25.95;15.31;12.12;55.78
23;10;54.94;39.4;51.54;34.76
24;10;13.82;49.59;41.08;10.57
25;10;23.61;7.72;44.77;24.8
26;10;13.97;7.29;6.14;48.0
27;10;44.91;0.07;56.67;32.12
28;10;42.17;19.62;43.0;41.78
29;10;46.09;40.45;43.54;44.03
30;10;32.41;59.86;6.46;25.45
31;10;44.27;54.98;55.63;21.85
32;10;56.73;49.58;36.43;48.99
33;10;19.61;44.76;51.39;12.72
34;10;50.63;2.99;45.06;54.1
35;10;38.61;48.57;39.05;48.51
36;10;26.8;16.67;11.38;28.88
37;10;57.68;10.13;39.74;40.27
38;10;34.8;46.7;45.07;57.84
39;10;52.18;39.38;41.01;11.43
40;10;39.61;30.35;35.69;17.99
41;10;51.31;12.54;4.68;8.38
42;10;26.56;24.35;39.03;7.03
43;10;33.91;50.49;8.24;1.41
44;10;55.6;47.01;46.9;24.39
45;10;15.49;10.03;13.43;44.77
46;10;2.45;46.11;21.9;20.97
47;10;11.79;37.78;31.38;18.9
48;10;59.54;9.82;13.76;8.51
49;10;58.94;51.1;27.93;33.34
50;10;24.27;12.67;8.53;54.4
51;10;5.6;45.89;8.37;3.66
52;10;37.56;3.76;17.31;2.8
53;10;7.28;25.72;15.5;50.77
54;10;50.22;59.2;25.86;37.94
55;10;27.99;41.92;29.91;25.92
56;10;49.99;36.01;41.61;40.46
57;10;29.58;9.25;16.66;19.77
58;10;36.97;39.53;9.64;22.58
59;10;23.91;56.84;17.1;9.0
60;10;10.1;11.45;43.98;43.12
61;10;18.16;28.87;20.05;48.6
62;10;2.56;0.58;55.83;58.06
63;10;18.43;4.7;21.12;33.44
64;10;38.67;53.47;35.04;57.55
65;10;31.92;2.97;34.37;47.25
66;10;20.17;56.99;36.57;15.34
67;10;22.91;49.47;15.06;52.59
68;10;44.45;59.99;18.13;31.29
69;10;32.84;3.09;27.61;29.99
70;10;52.7;56.06;50.75;42.99
71;10;29.51;49.75;47.83;9.71
72;10;0.42;24.72;58.53;57.28
73;10;25.99;28.73;3.17;54.49
